NULL,الفاتحة,1,1,1,1,0.17,NULL,NULL
NULL,البقرة,2,1,49,1,7.95,NULL,NULL
NULL,آل عمران,50,1,76,1,4.47,NULL,NULL
NULL,النساء,77,1,106,0.39,4.84,NULL,NULL
NULL,المائدة,106,0.61,127,1,3.6,NULL,NULL
NULL,الأنعام,128,1,150,1,3.81,NULL,NULL
NULL,الأعراف,151,1,176,1,4.3,NULL,NULL
NULL,الأنفال,177,1,186,1,1.66,NULL,NULL
NULL,التوبة,187,1,207,1,3.48,NULL,NULL
NULL,يونس,208,1,221,0.46,2.24,NULL,NULL
NULL,هود,221,0.54,235,0.61,2.32,NULL,NULL
NULL,يوسف,235,0.39,248,1,2.24,NULL,NULL
NULL,الرعد,249,1,255,0.15,1.03,NULL,NULL
NULL,إبراهيم,255,0.85,261,1,1.12,NULL,NULL
NULL,الحجر,262,1,267,0.46,0.91,NULL,NULL
NULL,النحل,267,0.54,281,1,2.4,NULL,NULL
NULL,الإسراء,282,1,293,0.7,1.95,NULL,NULL
NULL,الكهف,293,0.3,304,1,1.86,NULL,NULL
NULL,مريم,305,1,312,0.3,1.2,NULL,NULL
NULL,طه,312,0.7,321,1,1.61,NULL,NULL
NULL,الأنبياء,322,1,331,1,1.66,NULL,NULL
NULL,الحج,332,1,341,1,1.66,NULL,NULL
NULL,المؤمنون,342,1,349,1,1.32,NULL,NULL
NULL,النور,350,1,359,0.77,1.61,NULL,NULL
NULL,الفرقان,359,0.23,366,1,1.2,NULL,NULL
NULL,الشعراء,367,1,376,1,1.66,NULL,NULL
NULL,النمل,377,1,385,0.54,1.41,NULL,NULL
NULL,القصص,385,0.46,396,0.54,1.82,NULL,NULL
NULL,العنكبوت,396,0.46,404,0.7,1.37,NULL,NULL
NULL,الروم,404,0.3,410,1,1.03,NULL,NULL
NULL,لقمان,411,1,414,1,0.66,NULL,NULL
NULL,السجدة,415,1,417,1,0.5,NULL,NULL
NULL,الأحزاب,418,1,427,1,1.66,NULL,NULL
NULL,سبأ,428,1,434,0.54,1.08,NULL,NULL
